analysis_id,t8952g0hyl5h7va
pvalue,0.5374998
parameter_id,MGP_IMM_067_001
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of cDC
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
