parameter_name,Mean cell volume
pvalue,0.364174
mouse_strain,C57BL
gene_accession_id,MGI:1914309
analysis_id,oj99jg9946u7j2i
gene_symbol,Ola1
mouse_life_stage,E18.5
parameter_id,ESLIM_016_001_005
