analysis_id,o79s7533e07h4re
gene_accession_id,MGI:1338032
parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6067311
gene_symbol,Sema6c
