parameter_id,IMPC_GPP_004_001
gene_symbol,Mapkap1
parameter_name,Placenta Size
analysis_id,eko6d6r36x170u7
mouse_life_stage,Early adult
pvalue,0.7632526
gene_accession_id,MGI:2444554
mouse_strain,C57BL
