analysis_id,03xvvg6v85qn54k
gene_symbol,Usp37
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:2442483
pvalue,0.3183308
mouse_strain,C57BL
parameter_name,Anophthalmia
