analysis_id,z85so2zv004uh2l
gene_accession_id,MGI:1915524
pvalue,0.8599562
parameter_id,IMPC_IMM_071_001
gene_symbol,Toporsl
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
