analysis_id,4h3da6a2t3c68dj
pvalue,0.1630674
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
gene_accession_id,MGI:2441730
