parameter_name,Fructosamine
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_020_001
gene_accession_id,MGI:2135738
analysis_id,2q90rd0jjd0e0cc
gene_symbol,Abo
pvalue,0.5307081
