gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_name,Joints
pvalue,0.6359441
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
analysis_id,ot282x79020tv5e
gene_accession_id,MGI:1920638
