parameter_id,IMPC_GPP_004_001
analysis_id,656qm1ah4vc5sut
gene_symbol,Cd52
mouse_strain,C57BL
pvalue,0.08059579
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
parameter_name,Placenta Size
