gene_symbol,Snap23
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,b1i0737r5vmmj84
pvalue,0.8173904
gene_accession_id,MGI:109356
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
