parameter_name,Skull shape
gene_symbol,AU040320
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7877616
gene_accession_id,MGI:2140475
analysis_id,13gn599mo82eh1v
