parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
analysis_id,ajn1hk2l5846kob
gene_symbol,Sema6c
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1997766
gene_accession_id,MGI:1338032
