gene_symbol,Prkcq
pvalue,0.9125389
gene_accession_id,MGI:97601
analysis_id,d524ci0m0d4dk71
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
parameter_name,Delayed embryonic development
