parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
mouse_life_stage,E9.5
analysis_id,ug3802z9e6xj7s0
pvalue,0.4348108
gene_symbol,Bcs1l
mouse_strain,C57BL
gene_accession_id,MGI:1914071
