gene_symbol,Ahctf1
parameter_id,IMPC_HEM_008_001
analysis_id,19s6c8js0qn839s
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7405802
parameter_name,Platelet count
