parameter_name,White blood cell count
gene_symbol,Arnt
parameter_id,HMGULA_HEM_001_001
pvalue,0.1269236
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
mouse_strain,C58BL
analysis_id,7xq82zty6731617
