analysis_id,qzl473c39jvrt2w
pvalue,0.8794943
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cpa3
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:88479
