analysis_id,08k3y51u7xpb78r
parameter_id,IMPC_LDT_006_001
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
gene_symbol,Nipal3
mouse_strain,129SV
gene_accession_id,MGI:1921802
pvalue,0.7876751
