gene_symbol,Ubxn4
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
analysis_id,f91w1ke66n08k9a
mouse_strain,C57BL
pvalue,0.5718387
mouse_life_stage,Late adult
gene_accession_id,MGI:1915062
parameter_id,MGP_IMM_017_001
