analysis_id,7d231v7n33r3f57
pvalue,0.969535
gene_symbol,Ints7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:1924315
parameter_name,Effector CD4+ T helper cells - % of CD45+
