gene_symbol,Toporsl
parameter_name,Light side time spent
gene_accession_id,MGI:1915524
pvalue,0.8368438
parameter_id,JAX_LDT_002_001
analysis_id,sdr2lfrnk6u9ldi
mouse_life_stage,Early adult
mouse_strain,C57BL
