analysis_id,dg8z8i26h43n2gv
gene_symbol,Slc30a4
parameter_name,Limb morphology
mouse_strain,C57BL
pvalue,0.1804435
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_id,IMPC_GEP_084_001
