parameter_id,IMPC_HEM_038_001
pvalue,0.7475054
analysis_id,f3yszj3x39q1h4y
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ap5s1
parameter_name,Basophil differential count
