analysis_id,p647316t0y94s7w
gene_symbol,Rnf114
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
pvalue,0.5686985
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:1933159
