parameter_name,Femur
parameter_id,IMPC_XRY_024_001
analysis_id,8n3e66458395sf1
mouse_life_stage,Early adult
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.9198964
