analysis_id,mvx6a2925fi13d1
pvalue,0.4302222
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Hspa5
mouse_life_stage,E12.5
