parameter_id,TCPLA_CSD_030_001
analysis_id,z7z84618aye142j
gene_accession_id,MGI:1933159
pvalue,0.5661363
parameter_name,Tremor
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
