analysis_id,pl841q610k896da
pvalue,0.6578938
mouse_strain,C57BL
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
gene_symbol,Atrn
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
