analysis_id,x7jq40921jzw610
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
mouse_strain,C57BL
pvalue,0.2101653
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
gene_symbol,Bmp7
