gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,MGP_CSD_030_001
pvalue,0.06692224
mouse_strain,C57BL
analysis_id,9m18h9b8821kyjs
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
