analysis_id,5y8s3f7556y4bkc
pvalue,0.2219969
mouse_strain,C57BL
gene_symbol,Atrn
gene_accession_id,MGI:1341628
parameter_id,IMPC_CSD_011_001
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
