analysis_id,98r5052kz94z76q
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
pvalue,0.544423
gene_symbol,Fgb
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
parameter_name,Placenta Size
