gene_symbol,Cdin1
analysis_id,436ul0w299r48be
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_IMM_074_001
gene_accession_id,MGI:3026886
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.5594574
