analysis_id,r016eo9v9ux6894
gene_accession_id,MGI:106100
pvalue,0.5834189
gene_symbol,Etfdh
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
