parameter_name,Left total retinal thickness
pvalue,0.57708
parameter_id,IMPC_EYE_068_001
gene_symbol,Dhdds
analysis_id,3ect38fw4926fqs
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914672
