gene_symbol,Psd4
pvalue,0.2829534
parameter_name,Thyroxine
mouse_strain,C57BL
analysis_id,5ebg8jjs378a539
gene_accession_id,MGI:2674093
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
