parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.6374776
analysis_id,a8275723ci29814
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
