parameter_name,Alanine aminotransferase
mouse_strain,C57BL
analysis_id,z175zi8q5434s2v
gene_symbol,Psmd14
pvalue,0.5736565
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,IMPC_CBC_013_001
