analysis_id,53m2gfi95e48m9n
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
pvalue,0.3963491
gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,Hindpaw - size
