gene_symbol,Lurap1
parameter_name,QT
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
analysis_id,n4l2v328zvlh242
pvalue,0.9747949
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
