analysis_id,a8sj693h4g4pg2c
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,IMPC_IPG_011_001
pvalue,0.4713361
