analysis_id,wp6l1529d0u8aw7
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
mouse_strain,C3H
gene_accession_id,MGI:95457
parameter_name,Eosinophil cell count
pvalue,0.4343674
gene_symbol,Mecom
