gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8271xoq6d32dq1t
pvalue,0.3550243
parameter_id,JAXLA_OFD_017_001
