gene_symbol,Dhdds
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
pvalue,0.2557558
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
analysis_id,9dc4rj9h2a1f94v
parameter_name,DN CD44+CD62L- NKT cells
