analysis_id,078q6985bphwub9
gene_symbol,Nanp
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
mouse_life_stage,E18.5
pvalue,0.1427344
gene_accession_id,MGI:1914561
