parameter_name,RR
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
pvalue,0.9464933
gene_symbol,Secisbp2l
mouse_strain,C57BL
analysis_id,blc22a5a6ixrj42
parameter_id,IMPC_ECG_004_001
