parameter_name,NK cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,jb5b9ov4tmfp41x
gene_accession_id,MGI:99605
gene_symbol,Cntfr
pvalue,0.6542575
parameter_id,MGP_PBI_027_001
