analysis_id,93m8701h54940c1
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
gene_symbol,Slc17a9
mouse_strain,C57BL
pvalue,0.1643857
