analysis_id,576351957o8v638
parameter_name,Zygomatic bone
pvalue,0.1212846
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
gene_symbol,Hspa5
