gene_symbol,Hnf4a
mouse_strain,C57BL
analysis_id,i90so8566ccvph1
parameter_name,CD8+ alpha beta T cell percentage
pvalue,1.233362
gene_accession_id,MGI:109128
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_004_001
