analysis_id,d00c2z3083wci61
gene_symbol,Ints7
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
pvalue,0.9829821
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
gene_accession_id,MGI:1924315
