analysis_id,183f7z510up5056
mouse_strain,C57BL
parameter_name,Chloride
mouse_life_stage,Early adult
gene_symbol,Ivd
gene_accession_id,MGI:1929242
parameter_id,HMGULA_CBC_003_001
pvalue,0.3092061
