parameter_name,Lower teeth appearance
pvalue,0.6675985
gene_symbol,Bmp7
mouse_life_stage,Early adult
analysis_id,6a73he6st5w34p3
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
gene_accession_id,MGI:103302
