parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_symbol,Amigo1
analysis_id,q3k8rkf53765kl8
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
pvalue,0.5906538
gene_accession_id,MGI:2653612
