analysis_id,y2j32bjta194j87
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_name,Neural tube morphology
gene_symbol,Tubb4b
pvalue,0.1839373
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
