gene_symbol,Dhdds
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
analysis_id,6z1ah0s5x7jb37g
mouse_life_stage,Early adult
pvalue,0.08394534
gene_accession_id,MGI:1914672
parameter_name,Conditioning Baseline % Freezing Time
