gene_symbol,Alkbh3
parameter_name,Retina (combined)
mouse_strain,C57BL
analysis_id,81uk1cx4pg56m64
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
pvalue,0.8986749
parameter_id,IMPC_EYE_092_001
