analysis_id,dbk0k22m4037bdb
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
mouse_strain,C57BL
gene_symbol,Dnajc5b
pvalue,0.7954821
parameter_id,IMPC_CBC_025_001
