analysis_id,gf84794031nmemk
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
pvalue,0.06904128
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
