parameter_name,center - resting time
gene_symbol,Slc39a10
parameter_id,M-G-P_007_001_011
pvalue,0.4637884
analysis_id,hdc2993jjpu583w
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
mouse_strain,C57BL
