gene_symbol,Uckl1
analysis_id,268kot7shu6bhg7
mouse_life_stage,Early adult
pvalue,0.2712016
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1915806
parameter_id,IMPC_IMM_073_001
