analysis_id,2w9j05faeeft3x0
parameter_id,MGP_IMM_041_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,Total B cells - % of CD45+
pvalue,0.9189828
