parameter_name,B Cells
mouse_strain,C57BL
analysis_id,1c782287wt0os57
pvalue,0.6018759
parameter_id,IMPC_IMM_063_001
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
